retro_id,team,date,IP,H,R,ER,BB,SO,W,L,QS,fanduel_points,number,starter,opp,home,HR
chafa001,ANA,2025-08-13,1.1,0,0,0,1,2,0,0,0,10.0,0.0,,,,
chafa001,ANA,2025-08-18,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
chafa001,ANA,2025-08-19,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,,,
chafa001,ANA,2025-08-22,0.1,0,0,0,0,1,0,0,0,4.0,0.0,,,,
chafa001,ANA,2025-08-24,0.2,1,0,0,0,1,0,0,0,5.0,0.0,,,,
chafa001,ANA,2025-09-05,1.0,1,1,1,1,2,0,0,0,6.0,0.0,,,,
chafa001,ANA,2025-09-09,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
chafa001,ANA,2025-09-10,1.0,0,0,0,1,2,0,0,0,9.0,0.0,,,,
chapa001,BOS,2025-06-24,1.0,1,0,0,1,3,0,0,0,12.0,0.0,,,,
civaa001,CHA,2025-08-02,6.1,1,0,0,2,8,1,0,1,53.0,0.0,,,,
clart003,KCA,2025-09-23,1.0,0,0,0,1,2,0,0,0,9.0,0.0,,,,
clase001,CLE,2025-04-04,1.0,3,2,2,0,0,0,0,0,-3.0,0.0,,,,
cleag001,TBA,2025-08-06,1.0,0,0,0,1,1,1,0,0,12.0,0.0,,,,
corbp001,TEX,2025-07-10,5.0,7,2,2,2,6,1,0,0,33.0,0.0,,,,
corbp001,TEX,2025-07-29,5.0,3,3,2,3,6,0,0,0,27.0,0.0,,,,
crocg001,BOS,2025-06-24,7.0,3,0,0,3,10,0,0,1,55.0,0.0,,,,
cruzs001,KCA,2025-09-23,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
cruzs001,KCA,2025-09-25,1.0,2,2,2,0,1,0,0,0,0.0,0.0,,,,
curtj003,ARI,2025-07-13,2.0,1,0,0,1,2,0,0,0,12.0,0.0,,,,
danac001,ANA,2025-04-04,3.0,4,2,2,1,2,0,0,0,9.0,0.0,,,,
danac001,ANA,2025-05-24,3.0,3,3,3,4,4,0,0,0,12.0,0.0,,,,
danac001,ANA,2025-09-08,4.2,5,5,5,5,9,0,1,0,26.0,0.0,,,,
danac001,ANA,2025-09-27,7.0,5,5,5,1,5,0,1,0,21.0,0.0,,,,
darrm002,ANA,2025-04-20,1.2,1,0,0,0,1,1,0,0,14.0,0.0,,,,
darrm002,ANA,2025-04-22,2.0,3,0,0,0,2,0,0,0,12.0,0.0,,,,
darrm002,ANA,2025-05-04,1.0,3,3,3,0,2,0,0,0,0.0,0.0,,,,
degrj001,TEX,2025-07-07,5.0,5,3,3,2,5,0,0,0,21.0,0.0,,,,
degrj001,TEX,2025-07-28,5.1,7,5,5,1,8,0,1,0,25.0,0.0,,,,
deloe001,HOU,2025-09-27,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
deloy001,NYA,2025-05-26,1.1,1,0,0,0,3,0,0,0,13.0,0.0,,,,
desca001,ARI,2025-07-11,3.0,2,0,0,2,2,0,0,0,15.0,0.0,,,,
detmr001,ANA,2025-04-04,0.1,1,0,0,1,0,0,0,0,1.0,0.0,,,,
detmr001,ANA,2025-04-19,2.2,1,0,0,1,2,0,0,0,14.0,0.0,,,,
detmr001,ANA,2025-04-23,2.0,2,0,0,0,4,0,0,0,18.0,0.0,,,,
detmr001,ANA,2025-05-01,0.1,3,4,4,1,0,0,1,0,-11.0,0.0,,,,
detmr001,ANA,2025-05-07,0.0,3,3,3,0,0,0,0,0,-9.0,0.0,,,,
detmr001,ANA,2025-05-09,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-05-27,1.0,0,0,0,1,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-05-28,1.0,1,0,0,0,3,0,0,0,12.0,0.0,,,,
detmr001,ANA,2025-06-06,1.0,0,0,0,1,2,0,0,0,9.0,0.0,,,,
detmr001,ANA,2025-06-07,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,,,
detmr001,ANA,2025-06-10,1.0,0,0,0,0,2,1,0,0,15.0,0.0,,,,
detmr001,ANA,2025-06-11,1.0,0,0,0,0,2,0,0,0,9.0,0.0,,,,
detmr001,ANA,2025-06-20,1.0,0,0,0,2,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-06-23,0.2,0,0,0,1,2,0,0,0,8.0,0.0,,,,
detmr001,ANA,2025-06-24,1.0,2,1,0,0,1,1,0,0,12.0,0.0,,,,
detmr001,ANA,2025-06-28,1.0,2,0,0,1,0,0,0,0,3.0,0.0,,,,
detmr001,ANA,2025-06-29,1.1,0,0,0,1,3,0,0,0,13.0,0.0,,,,
detmr001,ANA,2025-07-07,1.0,1,0,0,0,0,0,0,0,3.0,0.0,,,,
detmr001,ANA,2025-07-09,1.0,1,2,2,0,0,0,0,0,-3.0,0.0,,,,
detmr001,ANA,2025-07-11,1.0,2,1,1,0,1,0,0,0,3.0,0.0,,,,
detmr001,ANA,2025-07-12,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-07-25,1.0,1,0,0,0,3,0,0,0,12.0,0.0,,,,
detmr001,ANA,2025-07-27,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-07-29,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,,,
detmr001,ANA,2025-07-30,0.2,2,3,3,0,2,0,0,0,-1.0,0.0,,,,
detmr001,ANA,2025-08-02,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-08-03,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-08-06,1.0,1,0,0,0,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-08-12,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,,,
detmr001,ANA,2025-08-13,1.0,0,0,0,1,1,0,0,0,6.0,0.0,,,,
detmr001,ANA,2025-08-20,1.0,0,0,0,1,2,1,0,0,15.0,0.0,,,,
detmr001,ANA,2025-08-22,1.0,1,0,0,0,2,0,0,0,9.0,0.0,,,,
detmr001,ANA,2025-09-07,1.0,2,1,1,0,0,1,0,0,6.0,0.0,,,,
detmr001,ANA,2025-09-10,0.2,1,0,0,0,0,0,0,0,2.0,0.0,,,,
diaza004,LAN,2025-08-11,1.1,1,1,1,0,1,0,0,0,4.0,0.0,,,,
domis001,BAL,2025-05-11,1.0,0,0,0,0,1,0,0,0,6.0,0.0,,,,
dovac001,SFN,2025-04-20,1.0,0,0,0,1,1,0,0,0,6.0,0.0,,,,
dreyj001,LAN,2025-08-11,1.0,0,0,0,0,0,0,0,0,3.0,0.0,,,,
