player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Adrian Del Castillo,Arizona Diamondbacks,$2500,2.44,4.11,0.3,0.67,0.51,0.11,0.04,0.05,0.28,0,0.01,0.27,1.52,0.183,0.248,0.287,0.535,6.1,ARI @ PIT
Jose Altuve,Houston Astros,$3100,3.81,4.53,0.66,1.21,0.83,0.23,0.01,0.16,0.6,0.06,0,0.39,0.75,0.299,0.365,0.483,0.847,11.8,OAK @ HOU
Jon Singleton,Houston Astros,$2000,3.65,4.08,0.41,0.75,0.59,0.13,0,0.07,0.39,0,0.01,0.37,1.04,0.208,0.287,0.315,0.603,7.3,OAK @ HOU
Christian Walker,Houston Astros,$2900,3.52,4.31,0.43,1,0.62,0.23,0.03,0.19,0.62,0.01,0.01,0.22,1.06,0.25,0.293,0.489,0.781,10.2,OAK @ HOU
Gio Urshela,Oakland Athletics,$2400,3.38,4.06,0.29,0.89,0.56,0.25,0.02,0.1,0.45,0,0.01,0.33,0.76,0.24,0.305,0.418,0.723,8.1,OAK @ HOU
Miguel Andujar,Oakland Athletics,$2400,3.46,4.28,0.47,1.09,0.88,0.15,0.01,0.1,0.4,0.01,0.07,0.14,0.46,0.267,0.295,0.398,0.694,8.3,OAK @ HOU
Victor Caratini,Houston Astros,$2900,3.48,4.42,0.46,1.21,0.84,0.31,0.02,0.1,0.61,0,0,0.2,0.62,0.297,0.333,0.467,0.801,10.1,OAK @ HOU
Austin Wynns,Oakland Athletics,$2400,3.83,3.94,0.41,0.9,0.44,0.26,0.02,0.2,0.43,0,0.02,0.24,1.07,0.25,0.31,0.508,0.818,9.2,OAK @ HOU
Luis Urias,Oakland Athletics,$2500,2.56,3.83,0.32,0.71,0.48,0.2,0.01,0.06,0.3,0,0.01,0.26,0.56,0.204,0.259,0.323,0.582,6.4,OAK @ HOU
Mauricio Dubon,Houston Astros,$2500,3.12,3.97,0.42,0.88,0.6,0.22,0.01,0.08,0.39,0.01,0.01,0.23,0.46,0.243,0.297,0.384,0.682,7.8,OAK @ HOU
Brent Rooker,Oakland Athletics,$3300,4.21,4.61,0.68,1.13,0.65,0.21,0.03,0.29,0.73,0.05,0.01,0.59,1.27,0.285,0.378,0.586,0.964,13.9,OAK @ HOU
Taylor Trammell,Houston Astros,$2400,4.5,4.64,0.56,0.92,0.59,0.23,0.04,0.12,0.42,0.13,0.01,0.56,1.23,0.231,0.332,0.409,0.741,10.8,OAK @ HOU
Zack Short,Houston Astros,$2500,2.6,3.75,0.3,0.67,0.47,0.14,0.02,0.09,0.34,0,0.03,0.28,1.03,0.198,0.256,0.344,0.6,6.5,OAK @ HOU
Shea Langeliers,Oakland Athletics,$2900,4.86,4.39,0.7,1.16,0.67,0.22,0.03,0.32,0.81,0.1,0.02,0.31,0.84,0.287,0.341,0.615,0.956,14.1,OAK @ HOU
Jacob Wilson,Oakland Athletics,$2700,3.7,4.72,0.58,1.12,0.89,0.21,0.01,0.08,0.38,0.11,0.06,0.31,0.49,0.262,0.323,0.386,0.709,10,OAK @ HOU
Cam Smith,Houston Astros,$3000,3.2,4.19,0.49,1.03,0.69,0.24,0.05,0.09,0.46,0.06,0.03,0.29,0.95,0.268,0.327,0.435,0.761,9.6,OAK @ HOU
Nick Kurtz,Oakland Athletics,$4000,2.85,4.5,0.49,1.02,0.63,0.24,0.01,0.22,0.63,0.03,0.01,0.42,1.45,0.254,0.33,0.51,0.839,11.4,OAK @ HOU
Colby Thomas,Oakland Athletics,$2100,2.71,4.17,0.33,0.58,0.41,0.16,0.01,0.04,0.3,0,0.01,0.28,1.55,0.152,0.208,0.239,0.447,5.7,OAK @ HOU
Brice Matthews,Houston Astros,$2700,3.0,3.86,0.45,0.72,0.45,0.17,0,0.16,0.45,0,0.02,0.25,1.23,0.205,0.26,0.407,0.667,8.1,OAK @ HOU
Yandy Diaz,Tampa Bay Rays,$3300,3.55,4.62,0.62,1.13,0.74,0.24,0.01,0.18,0.71,0.02,0.01,0.35,0.67,0.268,0.33,0.466,0.796,11.7,TB @ CIN
Austin Hays,Cincinnati Reds,$3400,3.15,4.22,0.5,0.93,0.54,0.19,0.01,0.24,0.71,0.02,0,0.2,1.07,0.237,0.28,0.487,0.767,10.7,TB @ CIN
Danny Jansen,Tampa Bay Rays,$2700,3.07,3.96,0.35,0.64,0.37,0.16,0,0.15,0.47,0,0.01,0.48,0.98,0.187,0.298,0.371,0.669,8.3,TB @ CIN
Jake Fraley,Cincinnati Reds,$2700,2.89,3.77,0.35,0.76,0.53,0.1,0.01,0.13,0.38,0.08,0.05,0.35,0.73,0.223,0.297,0.379,0.675,7.8,TB @ CIN
Gavin Lux,Cincinnati Reds,$2600,3.38,4.11,0.47,0.91,0.64,0.23,0,0.1,0.48,0,0.02,0.32,0.79,0.246,0.314,0.41,0.724,8.8,TB @ CIN
Tyler Stephenson,Cincinnati Reds,$3000,2.87,3.88,0.38,0.82,0.54,0.17,0,0.16,0.54,0,0.01,0.27,1.17,0.231,0.288,0.429,0.717,8.6,TB @ CIN
Ha-Seong Kim,Tampa Bay Rays,$2600,3.04,4.07,0.45,0.75,0.62,0.12,0.02,0.02,0.28,0.23,0.06,0.34,1.04,0.205,0.275,0.276,0.551,7.9,TB @ CIN
Taylor Walls,Tampa Bay Rays,$2500,3.12,3.84,0.41,0.7,0.63,0.08,0.02,0.01,0.33,0.21,0.06,0.43,0.99,0.212,0.31,0.266,0.576,7.8,TB @ CIN
Josh Lowe,Tampa Bay Rays,$2800,3.39,4.29,0.5,0.85,0.59,0.18,0.02,0.12,0.47,0.13,0.06,0.28,0.93,0.219,0.28,0.383,0.663,9.5,TB @ CIN
TJ Friedl,Cincinnati Reds,$3100,3.81,4.55,0.67,1.2,0.88,0.27,0.02,0.1,0.59,0.08,0.03,0.47,0.81,0.3,0.372,0.476,0.848,11.8,TB @ CIN
Jonathan Aranda,Tampa Bay Rays,$3000,3.43,4.51,0.52,1.04,0.63,0.31,0,0.12,0.59,0,0,0.41,1.06,0.26,0.333,0.434,0.767,10.3,TB @ CIN
Spencer Steer,Cincinnati Reds,$2900,3.1,3.99,0.57,0.75,0.49,0.13,0.03,0.16,0.41,0.07,0.04,0.27,1.1,0.203,0.264,0.398,0.662,9,TB @ CIN
Matt McLain,Cincinnati Reds,$3000,3.7,4.44,0.6,0.94,0.64,0.16,0.03,0.16,0.49,0.15,0.01,0.46,1.21,0.241,0.328,0.431,0.759,11.1,TB @ CIN
Elly De La Cruz,Cincinnati Reds,$4000,3.27,4.33,0.65,1.17,0.69,0.33,0.03,0.19,0.61,0.15,0.03,0.43,0.98,0.305,0.375,0.575,0.95,13.1,TB @ CIN
Noelvi Marte,Cincinnati Reds,$3200,2.88,3.66,0.44,0.89,0.6,0.2,0.03,0.12,0.43,0.13,0.03,0.2,0.59,0.266,0.315,0.467,0.782,9.2,TB @ CIN
Junior Caminero,Tampa Bay Rays,$3400,3.38,4.4,0.58,1.02,0.62,0.24,0,0.24,0.74,0.02,0.01,0.2,0.92,0.246,0.289,0.502,0.791,11.5,TB @ CIN
Jake Mangum,Tampa Bay Rays,$2700,3.15,4.18,0.45,0.92,0.74,0.17,0.01,0.06,0.41,0.11,0.05,0.25,0.52,0.239,0.293,0.351,0.644,8.5,TB @ CIN
Chandler Simpson,Tampa Bay Rays,$3100,3.26,4.73,0.59,1.23,1.08,0.15,0,0.06,0.46,0.19,0.08,0.2,0.76,0.276,0.308,0.364,0.672,10.1,TB @ CIN
Andrew Benintendi,Chicago White Sox,$2900,3.17,4.31,0.39,0.8,0.48,0.16,0.02,0.17,0.53,0.03,0.02,0.41,0.91,0.207,0.282,0.396,0.678,9.2,CHC @ CHW
Dansby Swanson,Chicago Cubs,$2900,4.34,4.23,0.64,0.99,0.6,0.15,0.04,0.25,0.82,0.06,0.02,0.34,1.34,0.261,0.331,0.533,0.863,12.6,CHC @ CHW
Carson Kelly,Chicago Cubs,$2800,3.86,4.45,0.5,1.04,0.71,0.23,0.02,0.16,0.49,0.01,0.01,0.53,0.74,0.272,0.369,0.483,0.852,10.8,CHC @ CHW
Ian Happ,Chicago Cubs,$3100,3.29,4.34,0.55,0.88,0.65,0.11,0.04,0.1,0.51,0.07,0.03,0.66,1.09,0.242,0.363,0.38,0.744,10.2,CHC @ CHW
Mike Tauchman,Chicago White Sox,$3000,3.73,4.54,0.56,1.04,0.78,0.11,0,0.2,0.69,0.01,0.01,0.51,1.1,0.26,0.344,0.454,0.798,11.2,CHC @ CHW
Kyle Tucker,Chicago Cubs,$3800,3.34,4.79,0.75,1.03,0.68,0.18,0.02,0.15,0.54,0.14,0.02,0.77,0.75,0.265,0.388,0.441,0.829,12.7,CHC @ CHW
Josh Rojas,Chicago White Sox,$2200,2.91,3.76,0.33,0.66,0.57,0.09,0,0.03,0.29,0.07,0.01,0.38,0.77,0.201,0.292,0.268,0.56,6.4,CHC @ CHW
Nico Hoerner,Chicago Cubs,$2700,3.93,4.12,0.67,1.13,0.98,0.16,0.03,0.05,0.3,0.2,0.08,0.38,0.43,0.312,0.39,0.431,0.82,10.6,CHC @ CHW
Luis Robert,Chicago White Sox,$3000,2.83,3.98,0.44,0.74,0.53,0.09,0,0.16,0.45,0.1,0.05,0.24,1.29,0.2,0.258,0.367,0.625,8.5,CHC @ CHW
Seiya Suzuki,Chicago Cubs,$3600,4.08,4.68,0.7,1.07,0.44,0.36,0.02,0.33,0.87,0.03,0.01,0.47,1.35,0.26,0.343,0.614,0.958,14.7,CHC @ CHW
Miguel Vargas,Chicago White Sox,$3100,3.13,4.2,0.52,0.97,0.71,0.15,0.03,0.14,0.49,0.06,0.03,0.33,0.87,0.255,0.314,0.428,0.742,9.7,CHC @ CHW
