player,team,salary,value,plateAppearances,runs,hits,singles,doubles,triples,homeRuns,runsBattedIn,stolenBases,caughtStealing,walks,strikeouts,battingAverage,onBasePercentage,sluggingPercentage,onBasePlusSlugging,fantasy,gameInfo
Dansby Swanson,Chicago Cubs,$3000,3.23,3.87,0.53,0.86,0.55,0.2,0.04,0.1,0.37,0.15,0.04,0.4,0.88,0.255,0.346,0.431,0.777,9.7,SF @ CHC
Carson Kelly,Chicago Cubs,$3400,2.47,4.2,0.42,0.82,0.61,0.12,0.01,0.1,0.44,0,0,0.49,0.76,0.226,0.324,0.354,0.678,8.4,SF @ CHC
Ian Happ,Chicago Cubs,$3200,3.59,4.65,0.67,1.03,0.62,0.23,0.05,0.15,0.54,0.04,0.03,0.53,1.1,0.256,0.348,0.456,0.804,11.5,SF @ CHC
Matt Chapman,San Francisco Giants,$2900,3.97,4.38,0.66,1.03,0.67,0.23,0.02,0.16,0.6,0.1,0,0.32,0.96,0.262,0.329,0.463,0.792,11.5,SF @ CHC
Willy Adames,San Francisco Giants,$3000,3.63,4.6,0.57,0.96,0.63,0.18,0.02,0.16,0.58,0.15,0,0.32,1.08,0.226,0.287,0.403,0.69,10.9,SF @ CHC
Kyle Tucker,Chicago Cubs,$4600,3.22,4.53,0.76,1.25,0.78,0.31,0.01,0.23,0.8,0.08,0.03,0.65,0.44,0.329,0.427,0.617,1.043,14.8,SF @ CHC
Jon Berti,Chicago Cubs,$2300,3.48,3.76,0.46,0.77,0.61,0.11,0.04,0.05,0.32,0.13,0.08,0.37,0.8,0.231,0.31,0.347,0.657,8,SF @ CHC
Mike Yastrzemski,San Francisco Giants,$3300,3.64,4.71,0.56,1.04,0.59,0.28,0.01,0.23,0.65,0.01,0.02,0.44,1.22,0.251,0.335,0.51,0.845,12,SF @ CHC
LaMonte Wade Jr,San Francisco Giants,$2600,3.31,4.05,0.53,0.76,0.56,0.12,0.01,0.1,0.37,0.02,0,0.54,0.82,0.223,0.334,0.356,0.69,8.6,SF @ CHC
Nico Hoerner,Chicago Cubs,$2900,3.48,4.09,0.63,1.08,0.83,0.22,0.03,0.04,0.43,0.15,0.03,0.33,0.52,0.291,0.352,0.413,0.765,10.1,SF @ CHC
