Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,Probable Pitcher,Batting Order,Roster Position
117427-226913,P,Yaramil,Yaramil Hiraldo,Hiraldo,7,1,5500,STL@BAL,BAL,STL,,,,,,P
117427-169574,P,Penn,Penn Murfee,Murfee,3.142857142857143,15,5500,CWS@NYM,CWS,NYM,,,,,,P
117427-222822,P,Brandon,Brandon Sproat,Sproat,,0,5500,CWS@NYM,NYM,CWS,,,,,,P
117427-222820,P,Nolan,Nolan McLean,McLean,,0,5500,CWS@NYM,NYM,CWS,,,,,,P
117427-222830,P,Travis,Travis Sykora,Sykora,,0,5500,WSH@SEA,WSH,SEA,,,,,,P
117427-222828,P,Jacob,Jacob Webb,Webb,,0,5500,BOS@MIL,BOS,MIL,,,,,,P
117427-222834,P,Quinn,Quinn Mathews,Mathews,,0,5500,STL@BAL,STL,BAL,IL,Shoulder,,,,P
117427-222833,P,Jarlin,Jarlin Susana,Susana,,0,5500,WSH@SEA,WSH,SEA,IL,Elbow,,,,P
117427-222832,P,Alex,Alex Clemmey,Clemmey,,0,5500,WSH@SEA,WSH,SEA,,,,,,P
117427-222843,P,Jurrangelo,Jurrangelo Cijntje,Cijntje,,0,5500,WSH@SEA,SEA,WSH,,,,,,P
117427-210559,P,Brady,Brady Feigl,Feigl,-13,1,5500,MIN@TB,MIN,TB,,,,,,P
117427-210562,P,Lake,Lake Bachar,Bachar,6.363636363636363,22,5500,MIA@SD,MIA,SD,,,,,,P
117427-222855,P,Ty,Ty Johnson,Johnson,,0,5500,MIN@TB,TB,MIN,,,,,,P
117427-222854,P,Brody,Brody Hopkins,Hopkins,,0,5500,MIN@TB,TB,MIN,,,,,,P
117427-165509,P,Bryce,Bryce Bonnin,Bonnin,,0,5500,TOR@TEX,TEX,TOR,,,,,,P
117427-222859,P,Cam,Cam Caminiti,Caminiti,,0,5500,ATL@PHI,ATL,PHI,,,,,,P
117427-222857,P,Jackson,Jackson Baumeister,Baumeister,,0,5500,MIN@TB,TB,MIN,,,,,,P
117427-222856,P,Trevor,Trevor Harrison,Harrison,,0,5500,MIN@TB,TB,MIN,,,,,,P
117427-190092,P,Devin,Devin Sweet,Sweet,,0,5500,ATL@PHI,PHI,ATL,,,,,,P
